ts_utc,dex,symbol,funding_1h,apr_pct,mark,oi_usd,day_vlm_usd
2026-07-30T01:24:22Z,xyz,xyz:PURRDAT,0.0000401014,35.129,5.9882,5998775,2329320
2026-07-30T01:24:22Z,xyz,xyz:MRVL,0.0000222395,19.482,167.58,26781379,41320481
2026-07-30T01:24:22Z,xyz,xyz:RKLB,0.0000062500,5.475,59.605,4256850,3910237
2026-07-30T01:24:22Z,xyz,xyz:BIRD,0.0011268636,987.133,2.2286,57264,88580
2026-07-30T01:24:22Z,xyz,xyz:DRAM,0.0000442236,38.74,45.737,75097135,575346466
2026-07-30T01:24:22Z,xyz,xyz:CBRS,0.0000529070,46.347,174.05,37554365,31947091
2026-07-30T01:24:22Z,xyz,xyz:EWZ,-0.0000527656,-46.223,35.553,271584,274287
2026-07-30T01:24:22Z,xyz,xyz:ZM,-0.0001111439,-97.362,92.038,697977,820984
2026-07-30T01:24:22Z,xyz,xyz:EBAY,-0.0000202278,-17.72,115.33,188403,326039
2026-07-30T01:24:22Z,xyz,xyz:ARM,0.0000195285,17.107,216.22,3318298,10324337
2026-07-30T01:24:22Z,xyz,xyz:EWT,0.0000243065,21.292,90.283,541071,898271
2026-07-30T01:24:22Z,xyz,xyz:GBP,0.0000000000,0.0,1.3353,196254,424865
2026-07-30T01:24:22Z,xyz,xyz:SPCX,0.0000362106,31.72,113.56,168395717,199135766
2026-07-30T01:24:22Z,xyz,xyz:ASML,0.0000323592,28.347,1583.9,3087674,2610278
2026-07-30T01:24:22Z,xyz,xyz:MINIMAX,0.0003380970,296.173,27.586,6121988,3133968
2026-07-30T01:24:22Z,xyz,xyz:BB,-0.0000444205,-38.912,7.83,10824853,3503792
2026-07-30T01:24:22Z,xyz,xyz:QNT,0.0002344674,205.393,48.034,1355621,1714348
2026-07-30T01:24:22Z,xyz,xyz:DELL,0.0000513387,44.973,375.54,2594906,2442681
2026-07-30T01:24:22Z,xyz,xyz:IBM,0.0000062500,5.475,227.35,2474659,5438667
2026-07-30T01:24:22Z,xyz,xyz:AVGO,0.0000374894,32.841,376.11,2394798,1679991
2026-07-30T01:24:22Z,xyz,xyz:NOW,0.0000062500,5.475,115.2,1211814,3926652
2026-07-30T01:24:22Z,xyz,xyz:NBIS,0.0000206469,18.087,153.2,27043817,68488178
2026-07-30T01:24:22Z,xyz,xyz:WDC,0.0000127990,11.212,475.17,863250,4785681
2026-07-30T01:24:22Z,xyz,xyz:NOK,0.0002406041,210.769,8.5049,1654411,2889126
2026-07-30T01:24:22Z,xyz,xyz:SMH,0.0000957176,83.849,513.14,1582414,3222122
2026-07-30T01:24:22Z,xyz,xyz:BE,-0.0000023366,-2.047,169.28,3130607,13458576
2026-07-30T01:24:22Z,xyz,xyz:ZHIPU,0.0007952705,696.657,132.1,5300546,5911896
2026-07-30T01:24:22Z,xyz,xyz:QCOM,0.0000378383,33.146,151.75,3310569,4140587
2026-07-30T01:24:22Z,xyz,xyz:STRC,0.0000329307,28.847,87.578,8474468,1749492
2026-07-30T01:24:22Z,xyz,xyz:BOT,-0.0005386345,-471.844,27.616,3543055,1786097
2026-07-30T01:24:22Z,xyz,xyz:AMAT,0.0000176457,15.458,458.87,1137886,1669552
2026-07-30T01:24:22Z,xyz,xyz:GIGADEV,0.0003572554,312.956,54.969,251413,505249
2026-07-30T01:24:22Z,xyz,xyz:SHAZ,0.0004301115,376.778,40.616,2280078,1271966
2026-07-30T01:24:22Z,xyz,xyz:SKHY,0.0000460435,40.334,129.13,103267895,369798233
2026-07-30T01:24:22Z,xyz,xyz:CXMT,0.0001882759,164.93,7.195,79712749,62214637
2026-07-30T01:24:22Z,hyna,hyna:BTC,-0.0000027580,-2.416,63804.0,2042249,1053025
2026-07-30T01:24:22Z,hyna,hyna:ETH,0.0000084649,7.415,1906.2,1463386,1325777
2026-07-30T01:24:22Z,hyna,hyna:HYPE,0.0000125000,10.95,54.043,813213,146613
2026-07-30T01:24:22Z,hyna,hyna:SOL,0.0000125000,10.95,73.668,506771,118767
2026-07-30T01:24:22Z,hyna,hyna:ZEC,0.0000125000,10.95,466.93,66827,12697
