ts_utc,symbol,cex,hl_funding_1h,cex_funding_1h,hl_apr_pct,cex_apr_pct,gross_spread_8h_bps,fee_8h_bps,net_spread_8h_bps,net_apr_pct,direction,hl_mark,cex_mark,hl_oi_usd,hl_day_vlm_usd
2026-07-30T01:24:22Z,MON,kraken,0.0000125000,-0.0001121962,10.95,-98.284,9.9757,0.3333,9.6424,105.584,short_hl_long_cex,0.02083,0.02079301398,23614121,940187
2026-07-30T01:24:22Z,SUSHI,kraken,0.0000125000,-0.0001117286,10.95,-97.874,9.9383,0.3333,9.605,105.174,short_hl_long_cex,0.15086,0.1511483513,337204,164375
2026-07-30T01:24:22Z,W,okx,-0.0001846624,-0.0000619054,-161.764,-54.229,-9.8206,0.3333,9.4872,103.885,short_cex_long_hl,0.00837,0.00837,1555341,597266
2026-07-30T01:24:22Z,NOT,okx,-0.0001068871,0.0000125000,-93.633,10.95,-9.551,0.3333,9.2176,100.933,short_cex_long_hl,0.000329,0.0003295,189908,19280
2026-07-30T01:24:22Z,XPL,kraken,-0.0000011771,0.0001180539,-1.031,103.415,-9.5385,0.3333,9.2051,100.796,short_cex_long_hl,0.078335,0.07843487365,25239596,9284539
2026-07-30T01:24:22Z,ACE,kraken,-0.0000771492,0.0000388584,-67.583,34.04,-9.2806,0.3333,8.9473,97.973,short_cex_long_hl,0.0715,0.07151753913,384229,539947
2026-07-30T01:24:22Z,IO,kraken,-0.0000212889,-0.0001350004,-18.649,-118.26,9.0969,0.3333,8.7636,95.961,short_hl_long_cex,0.12958,0.12959838125,463605,228625
2026-07-30T01:24:22Z,GOAT,kraken,0.0000125000,0.0001164002,10.95,101.967,-8.312,0.3333,7.9787,87.367,short_cex_long_hl,0.0123,0.01232983918,152907,155145
2026-07-30T01:24:22Z,ORDI,kraken,0.0000125000,-0.0000812395,10.95,-71.166,7.4992,0.3333,7.1658,78.466,short_hl_long_cex,3.3087,3.30569734231,395201,139701
2026-07-30T01:24:22Z,FLOKI,kraken,0.0000125000,-0.0000761716,10.95,-66.726,7.0937,0.3333,6.7604,74.026,short_hl_long_cex,0.02036,2.035399e-05,551535,80081
2026-07-30T01:24:22Z,BOME,kraken,0.0000125000,-0.0000748479,10.95,-65.567,6.9878,0.3333,6.6545,72.867,short_hl_long_cex,0.000561,0.00056101471,1216567,277369
2026-07-30T01:24:22Z,CAKE,kraken,0.0000125000,-0.0000747893,10.95,-65.515,6.9831,0.3333,6.6498,72.815,short_hl_long_cex,1.381,1.3814002004,498293,118803
2026-07-30T01:24:22Z,IOTA,kraken,0.0000125000,-0.0000724535,10.95,-63.469,6.7963,0.3333,6.4629,70.769,short_hl_long_cex,0.0324,0.03238719306,401109,114891
2026-07-30T01:24:22Z,JUP,kraken,0.0000018599,-0.0000829698,1.629,-72.682,6.7864,0.3333,6.453,70.661,short_hl_long_cex,0.1977,0.19745994254,6520292,2640490
2026-07-30T01:24:22Z,POPCAT,kraken,0.0000071756,-0.0000719662,6.286,-63.042,6.3313,0.3333,5.998,65.678,short_hl_long_cex,0.041303,0.04130013684,955032,370491
2026-07-30T01:24:22Z,FET,kraken,-0.0000201016,-0.0000986630,-17.609,-86.429,6.2849,0.3333,5.9516,65.17,short_hl_long_cex,0.13942,0.13942694437,4624269,1717710
2026-07-30T01:24:22Z,USUAL,kraken,-0.0000233096,-0.0000970519,-20.419,-85.017,5.8994,0.3333,5.5661,60.948,short_hl_long_cex,0.00769,0.00769559765,143762,73886
2026-07-30T01:24:22Z,GRIFFAIN,kraken,0.0000125000,-0.0000599275,10.95,-52.496,5.7942,0.3333,5.4609,59.796,short_hl_long_cex,0.00759,0.00758153542,531588,111358
2026-07-30T01:24:22Z,SPX,kraken,0.0000125000,0.0000832410,10.95,72.919,-5.6593,0.3333,5.3259,58.319,short_cex_long_hl,0.33009,0.33006460482,2260554,1621122
2026-07-30T01:24:22Z,PEOPLE,kraken,0.0000125000,-0.0000535652,10.95,-46.923,5.2852,0.3333,4.9519,54.223,short_hl_long_cex,0.006727,0.00671837195,1374940,525720
2026-07-30T01:24:22Z,BLUR,kraken,0.0000125000,-0.0000493512,10.95,-43.232,4.9481,0.3333,4.6148,50.532,short_hl_long_cex,0.014145,0.01415288866,819898,239197
2026-07-30T01:24:22Z,IMX,kraken,-0.0001554342,-0.0000940982,-136.16,-82.43,-4.9069,0.3333,4.5735,50.08,short_cex_long_hl,0.10877,0.10885407433,987020,458268
2026-07-30T01:24:22Z,KAS,kraken,-0.0000032806,0.0000569994,-2.874,49.931,-4.8224,0.3333,4.4891,49.155,short_cex_long_hl,0.027419,0.02743576428,1230944,301006
2026-07-30T01:24:22Z,2Z,kraken,0.0000125000,-0.0000477631,10.95,-41.84,4.821,0.3333,4.4877,49.14,short_hl_long_cex,0.055727,0.05570620564,543750,160385
2026-07-30T01:24:22Z,ZRO,kraken,0.0000125000,-0.0000471678,10.95,-41.319,4.7734,0.3333,4.4401,48.619,short_hl_long_cex,0.76381,0.76418643379,27547928,2133042
2026-07-30T01:24:22Z,CHIP,okx,-0.0000656446,-0.0000060583,-57.505,-5.307,-4.7669,0.3333,4.4336,48.548,short_cex_long_hl,0.02505,0.02505,1655840,717423
2026-07-30T01:24:22Z,CELO,kraken,-0.0000098307,-0.0000669627,-8.612,-58.659,4.5706,0.3333,4.2372,46.398,short_hl_long_cex,0.063351,0.06340633714,154195,324952
2026-07-30T01:24:22Z,NEO,kraken,0.0000125000,-0.0000444956,10.95,-38.978,4.5596,0.3333,4.2263,46.278,short_hl_long_cex,1.8135,1.81218504415,213557,142309
2026-07-30T01:24:22Z,SYRUP,kraken,0.0000125000,-0.0000444458,10.95,-38.935,4.5557,0.3333,4.2223,46.235,short_hl_long_cex,0.16381,0.16364958001,1999146,304908
2026-07-30T01:24:22Z,MEME,okx,-0.0000437271,0.0000125000,-38.305,10.95,-4.4982,0.3333,4.1648,45.605,short_cex_long_hl,0.000497,0.0004969,423244,119058
2026-07-30T01:24:22Z,NEIRO,okx,-0.0000126554,-0.0000684549,-11.086,-59.967,4.464,0.3333,4.1306,45.23,short_hl_long_cex,0.05818,5.82e-05,212971,204516
